pair_model,ideology,think_outcome,delta_stage1_tokens__count,delta_stage1_tokens__mean,delta_stage1_tokens__median,delta_stage1_tokens__std,delta_visible_words__count,delta_visible_words__mean,delta_visible_words__median,delta_visible_words__std,delta_classification_entropy__count,delta_classification_entropy__mean,delta_classification_entropy__median,delta_classification_entropy__std,delta_classification_margin__count,delta_classification_margin__mean,delta_classification_margin__median,delta_classification_margin__std,delta_target_projection_expected__count,delta_target_projection_expected__mean,delta_target_projection_expected__median,delta_target_projection_expected__std,think_words_think__count,think_words_think__mean,think_words_think__median,think_words_think__std,think_hedging_present_think__count,think_hedging_present_think__mean,think_hedging_present_think__median,think_hedging_present_think__std,think_self_correction_present_think__count,think_self_correction_present_think__mean,think_self_correction_present_think__median,think_self_correction_present_think__std,think_persona_meta_present_think__count,think_persona_meta_present_think__mean,think_persona_meta_present_think__median,think_persona_meta_present_think__std
Qwen3-14B,base,not_comparable,18600,617.1597849462365,528.0,350.07913932646034,18600,-33.02182795698925,-9.0,62.521730460846726,18600,0.006376277479289679,0.0017340768116536518,0.12063132224657508,18600,-0.0017906691441370323,-0.0002934104220110312,0.10182284974592333,0,,,,18600,523.4187096774193,456.0,287.2450475729433,18600,0.9795698924731183,1.0,0.14147011784742725,18600,0.7094623655913979,1.0,0.4540226866729886,18600,0.5943548387096774,1.0,0.4910296603283161
Qwen3-14B,centrism,not_comparable,18600,436.1416129032258,388.0,226.55270068822702,18600,-40.97478494623656,-16.0,66.2852076878415,18600,0.0009015923427348466,0.0017831568833939848,0.09865075240748243,18600,0.0030367499327952534,-0.0002996569050236486,0.08838978459808276,0,,,,18600,383.84494623655917,344.0,177.96179111839416,18600,0.9846236559139785,1.0,0.12304765802771109,18600,0.6124731182795699,1.0,0.48719868543786043,18600,0.6594623655913978,1.0,0.4739027625572241
Qwen3-14B,libertarian_left,both_aligned,14529,383.887397618556,333.0,220.29644027642698,14529,-45.85821460527222,-21.0,68.38038907666282,14529,0.00025143249706864444,0.0007429886554760974,0.08631020708652903,14529,0.001377670303908154,-0.00011125747094442584,0.06744766888173102,14529,-0.0020891049810149256,-1.6875353044981667e-05,0.07649630486884565,14529,351.9685456672861,307.0,176.9442310972491,14529,0.9693716016243376,1.0,0.17231466347671479,14529,0.5932273384265951,1.0,0.49124868780728875,14529,0.5963245921949205,1.0,0.4906507336487051
Qwen3-14B,libertarian_left,both_unaligned,906,524.0364238410596,459.5,300.22525944138084,906,-50.86644591611479,-20.0,78.36681589936752,906,0.0018999468807036498,0.0018905631890768185,0.14528589341459303,906,0.003891657287780929,-0.00030503356674738136,0.12876590208536615,906,-0.0019682561598717454,5.5447155833887596e-05,0.11370987496496329,906,470.79359823399557,409.0,238.46885987533642,906,0.9955849889624724,1.0,0.06633532725345587,906,0.8013245033112583,1.0,0.39922357047415014,906,0.543046357615894,1.0,0.4984187061982887
Qwen3-14B,libertarian_left,not_comparable,300,476.7266666666667,424.0,241.3012216174404,300,-42.23,-19.0,64.4858525875753,300,-0.0013481270933102943,0.0008536346333627833,0.08598371805039938,300,0.0035801741982783787,-0.00013140768646902057,0.0649145597036743,0,,,,300,419.74,384.5,185.73660387782184,300,1.0,1.0,0.0,300,0.8566666666666667,1.0,0.3509979402633573,300,0.5333333333333333,1.0,0.49972121547874476
Qwen3-14B,libertarian_left,think_harm,845,591.4958579881657,535.0,304.06111265934453,845,-54.711242603550296,-25.0,83.95870079869519,845,0.0281889184848507,0.004174292994153656,0.16649897978014153,845,-0.020881110510264884,-0.0007911377489550064,0.14700116190623674,845,-0.6261949808721282,-0.6235852375549316,0.2892075413141471,845,530.0497041420118,476.0,245.30891616738194,845,0.9964497041420118,1.0,0.05951371971762481,845,0.8414201183431953,1.0,0.36550020237478,845,0.5846153846153846,1.0,0.4930800767474875
Qwen3-14B,libertarian_left,think_rescue,2020,481.8891089108911,415.0,258.1213351419658,2020,-34.862376237623764,-10.0,67.37175089398437,2020,-0.011946396570400808,0.0017846746755965448,0.1376801018171718,2020,0.01257555974150531,-0.00030372814740259324,0.1230276406505501,2020,0.5187551745597854,0.46095817830205343,0.24000301170436728,2020,417.2490099009901,358.0,221.1317278992651,2020,0.9683168316831683,1.0,0.17519857442144893,2020,0.6836633663366337,1.0,0.4651611378277157,2020,0.6683168316831684,1.0,0.4709344284219059
Qwen3-14B,libertarian_right,both_aligned,11663,424.64022978650434,361.0,253.68259950861318,11663,-43.1862299579868,-18.0,66.31557177539882,11663,-0.0012037540491477582,0.000745801283503813,0.08822477853515644,11663,0.002371719851940601,-0.00011153893073945209,0.06780441836270863,11663,0.0026909920564637036,-2.0386855872356335e-05,0.07021628856816456,11663,377.44079567864185,324.0,200.4131316295601,11663,0.9623595987310297,1.0,0.19033314893589962,11663,0.6994769784789505,1.0,0.4585051364768723,11663,0.6233387636114207,1.0,0.48456958436428554
Qwen3-14B,libertarian_right,both_unaligned,2507,555.1320303151176,492.0,294.60944922559963,2507,-39.01954527323494,-15.0,65.92860549457076,2507,0.0029668108579657968,0.001420551803638933,0.1018784626317259,2507,0.0006932619565949489,-0.0002276194643006102,0.08722448006981277,2507,0.008456015623325685,2.9888084774665202e-05,0.08295835129912045,2507,479.7155963302752,432.0,235.3802328964377,2507,0.9924212205823694,1.0,0.08674297005277962,2507,0.7913841244515357,1.0,0.4064002608542564,2507,0.6529716792979657,1.0,0.47611982544738696
Qwen3-14B,libertarian_right,not_comparable,300,391.57666666666665,370.0,186.81707502427156,300,-51.586666666666666,-27.5,71.16218102980415,300,-0.007191795038221946,0.0005116869578975409,0.08366392596441989,300,0.005526419247409612,-6.828897804289635e-05,0.06491286020119932,0,,,,300,352.37333333333333,328.0,149.70046108496925,300,0.9866666666666667,1.0,0.11488931224930926,300,0.7933333333333333,1.0,0.4055908059796305,300,0.5133333333333333,1.0,0.5006573159847484
