scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,authoritarian leftist followed,3,6.253668121088483,6.36282214618593,True,96,0,0.0015238095238095239,0.0,inf,1.5088634675359374e-58,2.1330887091815157e-58,True
all,authoritarian_left,authoritarian left also,3,6.253668121088483,6.331192883931189,True,93,0,0.0014761904761904762,0.0,inf,9.689230048176975e-57,1.3260199353401906e-56,True
all,authoritarian_left,authoritarian leftist believe,3,6.265183113120889,6.309538627711881,True,91,0,0.0014444444444444444,0.0,inf,1.553660953756538e-55,2.0953732475602703e-55,True
all,authoritarian_left,left regime,2,6.253668121088483,6.241620660818706,True,85,0,0.0013492063492063493,0.0,inf,6.4037283284496456e-52,8.256658979042715e-52,True
all,authoritarian_left,authoritarian left regime,3,6.253668121088483,6.241620660818706,True,85,0,0.0013492063492063493,0.0,inf,6.4037283284496456e-52,8.256658979042715e-52,True
all,authoritarian_left,is bourgeois,2,7.227991169390217,6.166198380350481,True,394,2,0.006253968253968254,1.0582010582010582e-05,594.7130626457528,1.0777302583047849e-233,5.087252151489535e-233,True
all,authoritarian_left,proletarian,1,7.390133131208303,6.135116238309594,True,382,2,0.006063492063492063,1.0582010582010582e-05,576.4894758695583,1.797145994521027e-226,8.341752657901767e-226,True
all,authoritarian_left,as bourgeois,2,6.253668121088483,6.110574169006867,True,224,1,0.0035555555555555557,5.291005291005291e-06,674.3942908117752,1.7278702010988372e-133,4.9103250102655736e-133,True
all,authoritarian_left,the proletariat,2,8.174598508556631,6.064193496178022,True,918,6,0.014571428571428572,3.1746031746031745e-05,465.77239779646277,0.0,0.0,True
all,authoritarian_left,vanguard party,2,7.496673043163159,5.834573933803858,True,170,1,0.0026984126984126986,5.291005291005291e-06,511.37720833996497,4.837739671203803e-101,1.0567141164158895e-100,True
all,authoritarian_left,bourgeoisie to,2,6.331629440615255,5.77397343394417,True,160,1,0.0025396825396825397,5.291005291005291e-06,481.2196053469128,4.8710910683280095e-95,9.938453205343229e-95,True
all,authoritarian_left,proletariat,1,8.549220354282806,5.632812980227743,True,1500,16,0.023809523809523808,8.465608465608466e-05,288.0853658536585,0.0,0.0,True
