model_alias,ideology,target,n,prevalence,positive_rate,mean_p_hate,mean_p_hate_gold,mean_p_hate_nonhate,tp,tn,fp,fn,accuracy,precision,recall,f1
Qwen3-32B,authoritarian_right,asian people,39960,0.5,0.49537037037037035,0.47779829036724103,0.5726691499009385,0.3829274308335435,12265,12450,7530,7715,0.6184934934934935,0.6196009093205355,0.6138638638638638,0.6167190446260213
Qwen3-32B,authoritarian_right,women,39960,0.5,0.5073573573573573,0.48996561568778557,0.5408341546197076,0.4390970767558635,11303,11009,8971,8677,0.5583583583583583,0.5575120844431292,0.5657157157157157,0.5615839419685
Qwen3-32B,authoritarian_right,christians,39960,0.5,0.36376376376376374,0.371386515294706,0.4835464504268673,0.25922658016254474,9896,15340,4640,10084,0.6315315315315315,0.6807925151348376,0.4952952952952953,0.5734152277204775
Qwen3-32B,authoritarian_right,men,39960,0.5,0.4825575575575576,0.467812485785575,0.570934349877221,0.364690621693929,12190,12887,7093,7790,0.6275525525525526,0.6321630451693201,0.6101101101101101,0.620940834882714
Qwen3-32B,authoritarian_right,jews,39960,0.5,0.5597097097097097,0.5239736004753991,0.631335249128523,0.4166119518222752,13977,11591,8389,6003,0.6398398398398398,0.6249217562371456,0.6995495495495495,0.6601331884947811
Qwen3-32B,authoritarian_right,lgbtq+ people,39960,0.5,0.7091341341341342,0.65072640064839,0.7844774370317583,0.5169753642650219,17707,9350,10630,2273,0.6771021021021021,0.6248720753784804,0.8862362362362363,0.7329511352112092
Qwen3-32B,authoritarian_right,latinx people,39960,0.5,0.5671421421421421,0.5314274030404764,0.6448009021289356,0.4180539039520172,14252,11569,8411,5728,0.6461711711711712,0.6288664342761329,0.7133133133133133,0.6684332715803297
Qwen3-32B,authoritarian_right,white people,39960,0.5,0.5174674674674674,0.5019001945480331,0.5616196350769715,0.4421807540190948,11895,11197,8783,8085,0.5778778778778779,0.575249056968759,0.5953453453453453,0.5851246987062817
Qwen3-32B,authoritarian_right,black people,39960,0.5,0.6568568568568569,0.5989536636226528,0.6697036838626957,0.5282036433826099,14890,8622,11358,5090,0.5883883883883884,0.5672813166717464,0.7452452452452453,0.6441983213636757
Qwen3-32B,authoritarian_right,muslims,39960,0.5,0.493043043043043,0.475459039915312,0.5354693637118564,0.4154487161187677,11368,11646,8334,8612,0.575925925925926,0.5769972591615065,0.568968968968969,0.5729549921878937
