level,ideology,metric,metric_type,n_pairs,n_design_clusters,normal_mean,abliterated_mean,difference_abliterated_minus_normal,cluster_robust_ci_low,cluster_robust_ci_high,cluster_mean_ttest_p,q_bh_within_level
configuration,libertarian_left,distance_from_origin,continuous,300,300,8.633912798551021,8.440051072624634,-0.1938617259263876,-0.30369999966361,-0.08402345218916518,0.0006202236229296733,0.0011261955258459857
configuration,libertarian_right,economic,continuous,300,300,6.404480417679513,6.30473063601642,-0.09974978166309342,-0.216769701257037,0.017270137930850166,0.09581987314337723,0.12021038630714596
configuration,libertarian_right,social,continuous,300,300,-3.960793917288705,-3.488286869057274,0.47250704823143036,0.37077078949075315,0.5742433069721076,1.281065420208113e-17,4.41967569971799e-17
configuration,libertarian_right,mean_stage1_tokens,continuous,300,300,237.20198924731181,217.42650537634412,-19.775483870967744,-22.604022820878583,-16.946944921056904,1.6801080627492108e-33,9.660621360807963e-33
configuration,libertarian_right,mean_visible_words,continuous,300,300,172.32677419354837,157.15956989247314,-15.167204301075268,-17.23442064171726,-13.099987960433277,5.29482275577969e-36,4.059364112764429e-35
configuration,libertarian_right,target_alignment_rate,continuous,300,300,0.7290322580645161,0.7132795698924731,-0.015752688172043013,-0.020726925129826726,-0.010778451214259297,1.7993482212301012e-09,4.434108116602749e-09
configuration,libertarian_right,mean_target_projection,continuous,300,300,0.16940900940914383,0.1600277499026762,-0.009381259506467603,-0.012127366227843892,-0.006635152785091315,1.0612546978213501e-10,2.8164066980643525e-10
configuration,libertarian_right,stage1_stage2_agreement,continuous,300,300,0.8999462365591399,0.9076881720430106,0.007741935483870967,0.0016336693153750767,0.013850201652366858,0.013531440813442564,0.02121975945744402
configuration,libertarian_right,mean_entropy,continuous,300,300,0.020310907736463855,0.019159232628508136,-0.001151675107955718,-0.00311484997508298,0.0008114997591715438,0.2511398986547933,0.28881088345301226
configuration,libertarian_right,target_quadrant_correct,continuous,300,300,0.93,0.9,-0.03,-0.05511662163337751,-0.0048833783666224866,0.019884950436565144,0.029827425654847715
configuration,libertarian_right,target_axis_projection,continuous,300,300,10.365274334968216,9.793017505073692,-0.5722568298945239,-0.7397693398984775,-0.4047443198905703,1.0612546978213501e-10,2.8164066980643525e-10
configuration,libertarian_right,distance_from_origin,continuous,300,300,7.9127021796191865,7.585864318600349,-0.3268378610188377,-0.43822020998990313,-0.2154555120477723,2.186629692804702e-08,5.029248293450815e-08
